127.0.0.1 - - [12/Aug/2022:21:48:07 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/ HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/css/templatemo.css HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/css/bootstrap.min.css HTTP/1.1" 200 153113
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/css/custom.css HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/css/fontawesome.min.css HTTP/1.1" 200 59356
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/js/templatemo.js HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/js/bootstrap.bundle.min.js HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/js/custom.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/images/logoo.png HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/images/law2.jpg HTTP/1.1" 200 100547
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/images/law1.jpg HTTP/1.1" 200 277311
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/images/logo.png HTTP/1.1" 200 119459
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/images/law3.jpg HTTP/1.1" 200 311906
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-regular-400.eot? HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-solid-900.eot? HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-brands-400.eot? HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-regular-400.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-solid-900.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-brands-400.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-regular-400.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-solid-900.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Aug/2022:21:48:09 +0900] "GET /myweb/resources/webfonts/fa-brands-400.ttf HTTP/1.1" 404 721
